steps,rewards
22,22.0
51,29.0
73,22.0
93,20.0
106,13.0
128,22.0
152,24.0
166,14.0
183,17.0
201,18.0
214,13.0
228,14.0
250,22.0
264,14.0
274,10.0
287,13.0
296,9.0
310,14.0
323,13.0
337,14.0
348,11.0
367,19.0
386,19.0
399,13.0
411,12.0
421,10.0
431,10.0
441,10.0
452,11.0
465,13.0
478,13.0
491,13.0
502,11.0
512,10.0
525,13.0
537,12.0
547,10.0
557,10.0
568,11.0
584,16.0
595,11.0
606,11.0
616,10.0
629,13.0
638,9.0
647,9.0
663,16.0
674,11.0
690,16.0
701,11.0
714,13.0
723,9.0
735,12.0
747,12.0
756,9.0
767,11.0
777,10.0
785,8.0
798,13.0
809,11.0
820,11.0
831,11.0
842,11.0
851,9.0
861,10.0
871,10.0
881,10.0
891,10.0
903,12.0
914,11.0
924,10.0
934,10.0
946,12.0
960,14.0
969,9.0
979,10.0
988,9.0
999,11.0
1008,9.0
1021,13.0
1030,9.0
1042,12.0
1051,9.0
1062,11.0
1076,14.0
1087,11.0
1097,10.0
1105,8.0
1118,13.0
1138,20.0
1147,9.0
1158,11.0
1170,12.0
1180,10.0
1189,9.0
1201,12.0
1211,10.0
1222,11.0
1232,10.0
1242,10.0
1251,9.0
1263,12.0
1276,13.0
1287,11.0
1297,10.0
1306,9.0
1318,12.0
1328,10.0
1337,9.0
1348,11.0
1357,9.0
1368,11.0
1378,10.0
1387,9.0
1396,9.0
1405,9.0
1414,9.0
1422,8.0
1432,10.0
1443,11.0
1453,10.0
1466,13.0
1477,11.0
1486,9.0
1509,23.0
1518,9.0
1528,10.0
1537,9.0
1546,9.0
1554,8.0
1565,11.0
1576,11.0
1584,8.0
1593,9.0
1602,9.0
1611,9.0
1620,9.0
1630,10.0
1639,9.0
1650,11.0
1659,9.0
1668,9.0
1677,9.0
1686,9.0
1694,8.0
1703,9.0
1713,10.0
1722,9.0
1737,15.0
1747,10.0
1756,9.0
1766,10.0
1776,10.0
1785,9.0
1794,9.0
1803,9.0
1812,9.0
1828,16.0
1837,9.0
1851,14.0
1861,10.0
1870,9.0
1878,8.0
1888,10.0
1898,10.0
1907,9.0
1925,18.0
1933,8.0
1943,10.0
1953,10.0
1965,12.0
1973,8.0
1983,10.0
1996,13.0
2006,10.0
2016,10.0
2026,10.0
2037,11.0
2048,11.0
2058,10.0
2067,9.0
2076,9.0
2087,11.0
2112,25.0
2121,9.0
2131,10.0
2141,10.0
2150,9.0
2160,10.0
2171,11.0
2181,10.0
2191,10.0
2205,14.0
2215,10.0
2223,8.0
2235,12.0
2246,11.0
2257,11.0
2266,9.0
2276,10.0
2285,9.0
2295,10.0
2305,10.0
2314,9.0
2324,10.0
2333,9.0
2341,8.0
2351,10.0
2360,9.0
2370,10.0
2395,25.0
2405,10.0
2416,11.0
2427,11.0
2439,12.0
2450,11.0
2458,8.0
2467,9.0
2481,14.0
2497,16.0
2511,14.0
2521,10.0
2533,12.0
2547,14.0
2555,8.0
2566,11.0
2583,17.0
2594,11.0
2609,15.0
2621,12.0
2637,16.0
2653,16.0
2667,14.0
2680,13.0
2691,11.0
2705,14.0
2719,14.0
2742,23.0
2754,12.0
2770,16.0
2781,11.0
2795,14.0
2814,19.0
2826,12.0
2840,14.0
2851,11.0
2864,13.0
2880,16.0
2890,10.0
2902,12.0
2917,15.0
2928,11.0
2937,9.0
2955,18.0
2964,9.0
2982,18.0
2991,9.0
3001,10.0
3013,12.0
3031,18.0
3040,9.0
3050,10.0
3067,17.0
3090,23.0
3099,9.0
3108,9.0
3118,10.0
3127,9.0
3148,21.0
3158,10.0
3170,12.0
3187,17.0
3200,13.0
3261,61.0
3275,14.0
3297,22.0
3396,99.0
3431,35.0
3445,14.0
3493,48.0
3529,36.0
3620,91.0
3739,119.0
3769,30.0
3781,12.0
3810,29.0
3857,47.0
3978,121.0
4000,22.0
4029,29.0
4062,33.0
4230,168.0
4370,140.0
4502,132.0
4770,268.0
4891,121.0
5026,135.0
5181,155.0
5379,198.0
5646,267.0
5810,164.0
5936,126.0
6121,185.0
6329,208.0
6479,150.0
6694,215.0
6863,169.0
7100,237.0
7249,149.0
7449,200.0
7606,157.0
7741,135.0
7920,179.0
8213,293.0
8440,227.0
8729,289.0
8914,185.0
9127,213.0
9317,190.0
9549,232.0
9734,185.0
9959,225.0
10137,178.0
10416,279.0
10669,253.0
10839,170.0
11014,175.0
11220,206.0
11390,170.0
11549,159.0
11724,175.0
11896,172.0
12200,304.0
12522,322.0
12700,178.0
12886,186.0
13084,198.0
13262,178.0
13463,201.0
13640,177.0
14023,383.0
14221,198.0
14384,163.0
14606,222.0
14783,177.0
15002,219.0
15250,248.0
15492,242.0
15699,207.0
15917,218.0
16150,233.0
16348,198.0
16573,225.0
16796,223.0
17018,222.0
17227,209.0
17437,210.0
17638,201.0
17859,221.0
18065,206.0
18247,182.0
18441,194.0
18642,201.0
18832,190.0
19033,201.0
19240,207.0
19428,188.0
19628,200.0
19859,231.0
